,ethnic fractionalization,linguistic fractionalization,religious ractionalization,full_name
142,0.4844,0.0473,0.429,Nicaragua
143,0.6518,0.6519,0.2013,Niger
144,0.8505,0.8316,0.7421,Nigeria
145,0.0,0.7754,0.4811,Northern Mariana Islands
146,0.0586,0.0673,0.2048,Norway
147,0.4373,0.3567,0.4322,Oman
148,0.7098,0.719,0.3848,Pakistan
149,0.4312,0.3157,0.7147,Palau
150,0.5528,0.3873,0.3338,Panama
151,0.2718,0.3526,0.5523,Papua New Guinea
152,0.1689,0.5975,0.2123,Paraguay
153,0.6566,0.3358,0.1988,Peru
154,0.2385,0.836,0.3056,Philippines
155,0.1183,0.0468,0.1712,Poland
156,0.0468,0.0198,0.1438,Portugal
157,0.0,0.0352,0.4952,Puerto Rico
158,0.7456,0.48,0.095,Qatar
159,0.0,0.1578,0.1952,Réunion
160,0.3069,0.1723,0.2373,Romania
161,0.2452,0.2485,0.4398,Russia
162,0.3238,0.0,0.5066,Rwanda
163,0.1769,0.3169,0.332,Saint Lucia
164,0.3066,0.0175,0.7028,Saint Vincent and the Grenadines
165,0.1376,0.0111,0.7871,Western Samoa
166,0.2927,0.0,0.1975,San Marino
167,0.0,0.2322,0.1866,São Tomé and Príncipe
168,0.18,0.0949,0.127,Saudi Arabia
169,0.6939,0.7081,0.1497,Senegal
170,0.5736,0.0,0.0,Serbia
171,0.2025,0.1606,0.2323,Seychelles
172,0.8191,0.7634,0.5395,Sierra Leone
173,0.3857,0.3835,0.6561,Singapore
174,0.2539,0.2551,0.5655,Slovakia
175,0.2216,0.2201,0.2868,Slovenia
176,0.111,0.5254,0.6708,Solomon Islands
177,0.8117,0.0326,0.0028,Somalia
178,0.7517,0.8652,0.8603,South Africa
179,0.4165,0.4132,0.4514,Spain
180,0.415,0.4645,0.4853,Sri Lanka
181,0.1842,0.0,0.6614,Saint Kitts and Nevis
182,0.7147,0.719,0.4307,Sudan
183,0.7332,0.331,0.791,Suriname
184,0.0582,0.1722,0.4444,Swaziland
185,0.06,0.1968,0.2342,Sweden
186,0.5314,0.5441,0.6083,Switzerland
187,0.5399,0.1817,0.431,Syria
188,0.2744,0.5028,0.6845,Taiwan
189,0.5107,0.5473,0.3386,Tajikistan
190,0.7353,0.8983,0.6334,Tanzania
191,0.6338,0.6344,0.0994,Thailand
192,0.7099,0.898,0.6596,Togo
193,0.0869,0.3782,0.6214,Tonga
194,0.6475,0.1251,0.7936,Trinidad and Tobago
195,0.0394,0.0124,0.0104,Tunisia
196,0.32,0.2216,0.0049,Turkey
197,0.3918,0.3984,0.2327,Turkmenistan
198,0.1629,0.1372,0.2524,Tuvalu
199,0.9302,0.9227,0.6332,Uganda
200,0.4737,0.4741,0.6157,Ukraine
201,0.6252,0.4874,0.331,United Arab Emirates
202,0.1211,0.0532,0.6944,United Kingdom
203,0.4901,0.5647,0.8241,United States
204,0.2504,0.0817,0.3548,Uruguay
205,0.4125,0.412,0.2133,Uzbekistan
206,0.0413,0.5794,0.7044,Vanuatu
207,0.4966,0.0686,0.135,Venezuela
208,0.2383,0.2377,0.508,Vietnam
209,0.0,0.314,0.6359,U.S. Virgin Islands
210,0.0,0.1438,0.3095,West Bank
211,0.0,0.008,0.0023,Yemen
212,0.8092,0.6064,0.553,Yugoslavia
213,0.7808,0.8734,0.7359,Zambia
214,0.3874,0.4472,0.7363,Zimbabwe
